"ipr.oid"|"registry"|"cc"|"type"|"start"|"value"|"date"|"status"|"dtstart"|"dtend"|"current"|"ipr"
"AP2010-07-20-22352"|"apnic"|"ID"|"ipv6"|"2403:7200::"|32|2010-07-19|"allocated"|2010-07-20|2020-12-30|TRUE|"2403:7200::/123"
"AP2010-07-24-22380"|"apnic"|"JP"|"ipv6"|"2403:7a00::"|32|2010-07-23|"allocated"|2010-07-24|2020-12-30|TRUE|"2403:7a00::/123"
"AP2010-07-24-22382"|"apnic"|"AU"|"ipv6"|"2403:7e00::"|32|2010-07-23|"allocated"|2010-07-24|2020-12-30|TRUE|"2403:7e00::/123"
"AP2010-07-27-21869"|"apnic"|"AU"|"ipv6"|"2001:df0:ae::"|48|2010-07-26|"assigned"|2010-07-27|2020-12-30|TRUE|"2001:df0:ae::-2001:df0:ae::2f"
"AP2010-07-27-22393"|"apnic"|"AU"|"ipv6"|"2403:8200::"|32|2010-07-26|"allocated"|2010-07-27|2020-12-30|TRUE|"2403:8200::/123"
"AP2010-07-27-22395"|"apnic"|"IN"|"ipv6"|"2403:8600::"|32|2010-07-26|"allocated"|2010-07-27|2020-12-30|TRUE|"2403:8600::/123"
"AP2010-07-28-22400"|"apnic"|"JP"|"ipv6"|"2403:8a00::"|32|2010-07-27|"allocated"|2010-07-28|2020-12-30|TRUE|"2403:8a00::/123"
"AP2010-07-29-22403"|"apnic"|"JP"|"ipv6"|"2403:8e00::"|32|2010-07-28|"allocated"|2010-07-29|2020-12-30|TRUE|"2403:8e00::/123"
"AP2010-07-29-22405"|"apnic"|"JP"|"ipv6"|"2403:9200::"|32|2010-07-28|"allocated"|2010-07-29|2020-12-30|TRUE|"2403:9200::/123"
"AP2010-07-30-22412"|"apnic"|"JP"|"ipv6"|"2403:9600::"|32|2010-07-29|"allocated"|2010-07-30|2020-12-30|TRUE|"2403:9600::/123"
"AP2010-07-31-21890"|"apnic"|"NZ"|"ipv6"|"2001:df0:b0::"|48|2010-07-30|"assigned"|2010-07-31|2020-12-30|TRUE|"2001:df0:b0::-2001:df0:b0::2f"
"AP2010-07-31-22426"|"apnic"|"JP"|"ipv6"|"2403:9a00::"|32|2010-07-30|"allocated"|2010-07-31|2020-12-30|TRUE|"2403:9a00::/123"
"AP2010-07-31-22428"|"apnic"|"AU"|"ipv6"|"2403:9e00::"|32|2010-07-30|"allocated"|2010-07-31|2020-12-30|TRUE|"2403:9e00::/123"
"AP2010-08-01-22431"|"apnic"|"CN"|"ipv6"|"2403:a200::"|32|2010-07-31|"allocated"|2010-08-01|2020-12-30|TRUE|"2403:a200::/123"
"AP2010-08-03-21907"|"apnic"|"ID"|"ipv6"|"2001:df0:b1::"|48|2010-08-02|"assigned"|2010-08-03|2020-12-30|TRUE|"2001:df0:b1::-2001:df0:b1::2f"
"AP2010-08-03-21908"|"apnic"|"ID"|"ipv6"|"2001:df0:b2::"|48|2010-08-02|"assigned"|2010-08-03|2020-12-30|TRUE|"2001:df0:b2::-2001:df0:b2::2f"
"AP2010-08-03-21909"|"apnic"|"ID"|"ipv6"|"2001:df0:b3::"|48|2010-08-02|"assigned"|2010-08-03|2020-12-30|TRUE|"2001:df0:b3::-2001:df0:b3::2f"
"AP2010-08-03-22451"|"apnic"|"ID"|"ipv6"|"2403:a600::"|32|2010-08-02|"allocated"|2010-08-03|2020-12-30|TRUE|"2403:a600::/123"
"AP2010-08-03-22453"|"apnic"|"ID"|"ipv6"|"2403:aa00::"|32|2010-08-02|"allocated"|2010-08-03|2020-12-30|TRUE|"2403:aa00::/123"
"AP2010-08-03-22455"|"apnic"|"ID"|"ipv6"|"2403:ae00::"|32|2010-08-02|"allocated"|2010-08-03|2020-12-30|TRUE|"2403:ae00::/123"
"AP2010-08-03-22457"|"apnic"|"ID"|"ipv6"|"2403:b200::"|32|2010-08-02|"allocated"|2010-08-03|2020-12-30|TRUE|"2403:b200::/123"
"AP2010-08-03-22459"|"apnic"|"ID"|"ipv6"|"2403:b600::"|32|2010-08-02|"allocated"|2010-08-03|2020-12-30|TRUE|"2403:b600::/123"
"AP2010-08-03-22461"|"apnic"|"ID"|"ipv6"|"2403:ba00::"|32|2010-08-02|"allocated"|2010-08-03|2020-12-30|TRUE|"2403:ba00::/123"
"AP2010-08-04-21920"|"apnic"|"ID"|"ipv6"|"2001:df0:b4::"|48|2010-08-03|"assigned"|2010-08-04|2020-12-30|TRUE|"2001:df0:b4::-2001:df0:b4::2f"
"AP2010-08-04-21921"|"apnic"|"ID"|"ipv6"|"2001:df0:b5::"|48|2010-08-03|"assigned"|2010-08-04|2020-12-30|TRUE|"2001:df0:b5::-2001:df0:b5::2f"
