"ipr.oid"|"registry"|"cc"|"type"|"start"|"value"|"date"|"status"|"dtstart"|"dtend"|"current"|"ipr"
"AF2007-10-05-01621"|"afrinic"|"ZA"|"ipv6"|"2001:42e8::"|32|2007-10-04|"allocated"|2007-10-05|2007-11-26|FALSE|"2001:42e8::/32"
"AF2005-02-18-00665"|"afrinic"|"TN"|"ipv6"|"2001:970::"|32|2002-10-24|"allocated"|2005-02-18|2008-02-02|FALSE|"2001:970::/32"
"AF2007-06-20-01459"|"afrinic"|"CA"|"ipv6"|"2001:42c8::"|32|2007-06-19|"allocated"|2007-06-20|2008-02-21|FALSE|"2001:42c8::/32"
"AF2007-07-27-01495"|"afrinic"|"NL"|"ipv6"|"2001:43f8:20::"|48|2007-07-26|"assigned"|2007-07-27|2008-02-25|FALSE|"2001:43f8:20::/48"
"AF2008-07-31-01782"|"afrinic"|"ZA"|"ipv6"|"2001:43f8:70::"|48|2008-07-30|"assigned"|2008-07-31|2008-09-19|FALSE|"2001:43f8:70::/48"
"AF2008-07-31-01783"|"afrinic"|"ZA"|"ipv6"|"2001:43f8:71::"|48|2008-07-30|"assigned"|2008-07-31|2008-09-19|FALSE|"2001:43f8:71::/48"
"AF2008-07-31-01784"|"afrinic"|"ZA"|"ipv6"|"2001:43f8:72::"|48|2008-07-30|"assigned"|2008-07-31|2008-09-19|FALSE|"2001:43f8:72::/48"
"AF2008-07-31-01785"|"afrinic"|"ZA"|"ipv6"|"2001:43f8:73::"|48|2008-07-30|"assigned"|2008-07-31|2008-09-19|FALSE|"2001:43f8:73::/48"
"AF2008-07-31-01786"|"afrinic"|"ZA"|"ipv6"|"2001:43f8:74::"|48|2008-07-30|"assigned"|2008-07-31|2008-09-19|FALSE|"2001:43f8:74::/48"
"AF2008-07-31-01787"|"afrinic"|"ZA"|"ipv6"|"2001:43f8:75::"|48|2008-07-30|"assigned"|2008-07-31|2008-09-19|FALSE|"2001:43f8:75::/48"
"AF2008-07-31-01788"|"afrinic"|"ZA"|"ipv6"|"2001:43f8:76::"|48|2008-07-30|"assigned"|2008-07-31|2008-09-19|FALSE|"2001:43f8:76::/48"
"AF2008-07-31-01789"|"afrinic"|"ZA"|"ipv6"|"2001:43f8:77::"|48|2008-07-30|"assigned"|2008-07-31|2008-09-19|FALSE|"2001:43f8:77::/48"
"AF2007-10-12-01627"|"afrinic"|"CI"|"ipv6"|"2001:4318::"|32|2007-10-11|"allocated"|2007-10-12|2009-01-12|FALSE|"2001:4318::/32"
"AF2009-12-05-02127"|"afrinic"|"GH"|"ipv6"|"2001:43e0::"|32|2009-12-04|"allocated"|2009-12-05|2010-02-18|FALSE|"2001:43e0::/32"
"AF2010-02-09-02182"|"afrinic"|"KE"|"ipv6"|"2001:43f8:f0::"|48|2010-02-08|"assigned"|2010-02-09|2010-03-19|FALSE|"2001:43f8:f0::/48"
"AF2008-06-21-01738"|"afrinic"|"MU"|"ipv6"|"2001:4360::"|32|2008-06-20|"allocated"|2008-06-21|2010-05-06|FALSE|"2001:4360::/32"
"AF2007-06-22-01460"|"afrinic"|"ZA"|"ipv6"|"2001:42d0::"|32|2007-06-21|"allocated"|2007-06-22|2010-05-12|FALSE|"2001:42d0::/32"
"AF2007-09-22-01615"|"afrinic"|"ZA"|"ipv6"|"2001:43f8:40::"|48|2007-09-21|"assigned"|2007-09-22|2010-05-12|FALSE|"2001:43f8:40::/48"
"AF2008-12-19-01895"|"afrinic"|"ZA"|"ipv6"|"2001:43f8:90::"|48|2008-12-18|"assigned"|2008-12-19|2010-05-12|FALSE|"2001:43f8:90::/48"
"AF2009-10-31-02116"|"afrinic"|"ZA"|"ipv6"|"2001:43f8:d0::"|48|2009-10-30|"assigned"|2009-10-31|2010-05-12|FALSE|"2001:43f8:d0::/48"
"AF2010-02-20-02162"|"afrinic"|"ZA"|"ipv6"|"2001:43f8:110::"|48|2010-02-19|"assigned"|2010-02-20|2010-05-12|FALSE|"2001:43f8:110::/48"
